,name,type,rating,number_of_ratings,final_price,original_price,discount
54,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...","Paperback, Hindi, Bipin Chandra and M laxmikanth",4.3,607,638,979,34
55,A Handbook for Mechanical Engineering,"English, Paperback, Made Easy Team",4.4,7260,285,350,18
56,Set Of Indian Army NER Soldier GD General Duty Recruitm...,"Paperback, Hindi, Ram Singh Yadav, Yajvender Yadav",4.4,1145,229,265,13
57,41 Years' Chapterwise Topicwise Solved Papers (2019-197...,"English, Paperback, Agarwal Amitm.",4.6,3506,279,465,40
58,Set Of 3( Three )Classic Books,"Paperback, sapiens and stephens hawking",3.9,452,380,1228,69
59,The Secret,"Telugu, Paperback, Byrne Rhonda",4.4,3545,277,395,29
60,Delhi Police Constable (Purush/Mahila) Bharti Pariksha ...,"Paperback, Arihant Publication",4.5,88,113,135,16
61,Oxford Student Atlas for India,"English, Paperback, unknown",4.5,13575,219,315,30
62,Great Stories for Children,"English, Paperback, Bond Ruskin",4.5,7242,123,195,36
63,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,"Paperback, RAMESH SINGH, MAJID HUSSAIN",4.2,441,508,1250,59
64,Pathfinder Cds Combined Defence Services Entrance Exami...,"English, Paperback, unknown",4.5,1328,569,775,26
65,Pawan D.el.ed. Second Semester Question Bank Total Book...,"Paperback, Hindi, PAWAN",4.3,16,190,210,9
66,Toppers' Study Hacks,"English, Paperback, Agarwal Avinash",4.6,334,150,249,39
67,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...","English, Paperback, Sachdeva Pardeep",4.2,60,317,499,36
68,Nursing Research and Statistics,"English, Paperback, Suresh Sharma",4.4,477,499,695,28
69,"English Ncert Class 11, English Textbook Class 11, Horn...","Paperback, NCERT",4.4,998,115,188,38
70,Indian Economy For Civil Services and Other Competitive,"English, Undefined, Singhania Nitin",4.7,642,550,665,17
71,Speedy Current Affairs Year Book Hindi 2020 September 2...,"Paperback, Hindi, Speedy",3.5,8,110,120,8
72,Blackbook Of English Vocabulary (SSC Vocabulary) New Ed...,"Paperback, Nikhil Gupta",4.4,1838,240,360,33
73,Let's Crack SSB Interview 1 Edition,"English, Paperback, SSBCrack",4.3,3292,350,390,10
74,The Power of Your Subconscious Mind,"English, Paperback, Dr. Murphy Joseph",4.5,19268,195,199,2
75,BD Chaurasia’s Human Anatomy 8th Edition 2019 (Volume 1...,"Paperback, BD Chaurasia",4.6,224,1699,2100,19
76,A Naturalist's Guide To The Reptiles Of India,"English, Paperback, Das Indraneil",4.3,30,317,499,36
77,NCERT Books Set Class 1 (English Medium - Binded Books),"Hardcover, NCERT",3.9,134,275,305,9
78,SSC Constables (Executive) Male and Female In Delhi Pol...,"English, Paperback, V.V.K.Subburaj",4.0,215,256,300,14
79,Medieval India Old NCERT History Text Book By Satish Ch...,"Paperback, Satish Chandra",4.2,1670,90,239,62
80,Cbse Syllabus Accountancy Class-Xii Part A Volume II,"Paperback, SHELLY GOEL, RAJESH GOEL, DK GOEL",4.3,92,266,280,5
81,7 Years Upsc IAS/ Ips Mains Essay Year-Wise Solved Pape...,"English, Paperback, unknown",4.3,536,85,100,15
82,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...","Paperback, Hindi, Bipin Chandra and M laxmikanth",4.3,607,638,979,34
83,All In One English Language & Literature CBSE Class 10 ...,"English, Undefined, unknown",4.5,980,366,450,18
84,Oxford Student Atlas for India,"English, Paperback, unknown",4.5,13575,235,299,21
85,A Brief History of Modern India,"English, SPECTRUM, unknown",4.4,17881,234,390,40
86,Set Of 3( Three )Classic Books,"Paperback, sapiens and stephens hawking",3.9,452,380,1228,69
87,Word Power Made Easy,"Paperback, NORMAN LEWIS",4.4,285,170,189,10
88,Secret ( Tamil ),"Tamil, Paperback, Rhonda Byrne",4.5,3197,276,399,30
89,Colouring Books Collections for Early Learning by InIka...,"English, Paperback, InIkao",4.4,1922,189,300,37
90,Compatitive Handbook Of Nursing,"pagemaker, pr yadav",4.6,14,499,600,16
91,Drishti Ias Mains Solved Papers,"Paperback, Hindi, Drishti Publications",4.4,532,319,360,11
92,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,"Paperback, RAMESH SINGH, MAJID HUSSAIN",4.2,441,508,1250,59
93,Bhartiya Thal Sena Ner General Duty 2019,"Hindi, Paperback, Major RD. Ahluwalia",4.3,365,124,140,11
94,"Don't Lose Your Mind, Lose Your Weight - Tamil","English, Paperback, Rujuta Diwekar",4.1,33,161,200,19
95,LUCENTS General Knowledge WITH ARIHANT General Knowledg...,"Paperback, MANOHAR PANDEY, LUCENT",4.3,404,225,246,8
96,Bharat Ka Prachin Itihas,"Fine Paperback, Hindi, Ram Sharan Sharma",4.1,99,234,299,21
97,Ncert Chemistry Class 11&12 (Set Of 4 Books),"Paperback, NCERT",4.0,1499,415,660,37
98,Target High,"English, Paperback, unknown",4.4,2616,987,1299,24
99,Ncer Mathematics Class12 Volume1&2,"Paperback, EXPERTS",4.2,635,250,300,16
100,"Physics Textbook Part - 1 And 2 , Chemistry Textbook Pa...","Paperback, NCERT",4.2,1995,705,800,11
101,"UP BTC D.El.Ed 2nd Semester ( Paper 1 , 2 , 3 , 4 , 5 ,...","hardbook, Hindi, rajan",4.4,75,155,220,29
102,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...","English, Paperback, Sachdeva Pardeep",4.2,60,317,499,36
103,NCERT Biology Textbook For Class - 11 And Class - 12 ( ...,"Paperback, NCERT",4.1,2663,360,425,15
104,Oxford Student Atlas for India,"English, Paperback, unknown",4.5,13575,299,320,6
105,CDS Maths : Fastrack With Shortcut Tricks,"English, Paperback, DDE",4.5,82,341,552,38
106,50 Greatest Short Stories,"English, Paperback, O'Brien Terry",4.5,1590,159,295,46
107,T.S. Grewal's Double Entry Book Keeping (Accounting For...,"Paperback, R.K. Khosla, H.S. Grewal, CA. (Dr.) G.S. Grewal, T.S. Grewal",4.6,155,231,270,14
108,Jawahar Navodaya Vidyalaya Entrance Exam 2021 Class 6,"English, Paperback, unknown",4.4,232,254,325,21
109,The Secret,"Malayalam, Electronic book text, Byrne Rhonda",4.5,2162,235,399,41
110,Objective Computer Awareness,"English, Paperback, unknown",4.3,6265,89,140,36
111,Why I am an Atheist and Other Works,"English, Paperback, Singh Bhagat",4.6,1635,105,175,40
112,The Girl in Room 105,"Telugu, Paperback, Bhagat Chetan",4.4,89,180,250,28
113,"Arihant Ncert Exemplar Problems-Solutions PHYSICS, CHEM...","Paperback, Arihant Expert",4.5,31,375,475,21
114,"NEET Most Wanted Physics, Chemistry And Biology: 40 Day...","Paperback, Dr. Pooja Vyas, Anurag Pareek, Dr. Aryan Raj, Subhash Azad",4.5,352,840,1280,34
115,151 Essays for IAS/ Pcs & Other Competitive Exams,"English, Paperback, unknown",4.5,431,191,320,40
116,Rich Dad Poor Dad,"Punjabi, Paperback, Kiyosaki Robert T.",4.6,13,221,295,25
117,PROBLEMS IN PHYSICAL CHEMISTRY FOR NEET,"Paperback, Narendra Avasthi",4.5,134,460,498,7
118,Story Books Set of 10 in English with 101 Moral Stories...,"English, Paperback, unknown",4.3,1143,234,350,33
119,Indian Army NER Soldier GD General Duty Recruitment Exa...,"Paperback, Hindi, Yajvendra Yadav, Ram Singh Yadav",4.3,2146,132,135,2
120,Objective Biology,"Paperback, DR. ALI AKHATAR",4.6,407,483,1050,54
121,The Power of Your Subconscious Mind,"English, Paperback, Murphy Joseph",4.4,5155,150,299,49
122,Objective General Knowledge,"Paperback, Sanjiv Kumar",4.5,205,320,390,17
123,General Knowledge 2019-20 Combo Lucent With Arihant (Pa...,"Paperback, MANHOR PANDAY, LUCENT",4.4,3992,215,246,12
124,A Competitive Book of Agriculture,"English, Paper Back, Nem Raj Sunda",4.4,1589,299,325,8
125,"Trueman's Elementary Biology, Volume - 1 for Class 11 (...","English, Paperback, M.P. Tyagi K.N. Bhatia",4.6,220,831,875,5
126,Railway maths 2020 (2012-A),"Hindi, Paperback, SSGCP GROUP",4.2,42,346,390,11
127,Shortcuts in Quantitative Aptitude for Competitive Exam...,"English, Paperback, Disha Publication",4.1,3317,93,150,38
128,Pawan D.el.ed. Fourth Semester Question Bank Total 8 Su...,"Paperback, Hindi, PAWAN",4.8,14,158,220,28
129,Problem In Physical Chemistry For JEE Mains & Advanced ...,"Paperback, Narendra Avasthi",4.5,148,420,518,18
130,All In One English Core For Class Xii Cbse,"Paperback, GAJENDRA SINGH",4.4,49,338,415,18
131,COMBO: CSIR-JRF-NET: Life Sciences Fundamentals And Pra...,"Paperback, Pranav Kumar",4.5,866,699,940,25
132,Cbse All in One Physics Class 11 for 2021 Exam,"English, Paperback, unknown",4.5,316,392,510,23
133,Ananthanarayan and Paniker's Textbook of Microbiolog wi...,"English, Paperback, Kanungo Reba",4.4,483,1019,1055,3
134,Tamilnadu History - Class Xi (Photocopy),"Paperback, TAMILNADU BOARD",4.4,1710,115,200,42
135,PROBLEMS IN INORGANIC CHEMISTRY FOR JEE,"Paperback, V.K.Jaiswal",4.5,133,400,525,23
136,"History Book, Modern India Latest Edition 2018, India, ...","Paperback, Rajiv Ahir",4.3,1735,267,415,35
137,The Power of Your Subconscious Mind,"English, Book, Murphy Joseph",4.4,5155,150,170,11
138,The Power of Your Subconscious Mind,"English, Paperback, Murphy Joseph",4.4,5155,140,151,7
139,The Power of Your Subconscious Mind,"English, Paperback, Murphy Joseph",4.4,5155,140,195,28
140,Civil Engineering: Conventional And Objective Type,"Paperback, R.S Khurmi",4.3,1475,345,599,42
141,"UP BTC D.El.Ed 4th Semester ( Paper 1 , 2 , 3 , 4 , 5 ,...","hardbook, Hindi, rajan",4.4,83,156,220,29
142,Bhagavad Gita: As It Is 2016 English Edition,"Hardcover, ""His Divine Grace A.C. Bhaktivedanta Swami Prabhupada""",4.8,727,251,450,44
143,The English Acumen Grammar + Vocabulary + Comprehension,"Paperback, Gopal Verma",4.4,2133,275,380,27
144,BlackBook of English Vocabulary August 2020,"Paperback, Nikhil Gupta",4.9,29,235,299,21
145,Face to Face Cat 27 Years Sectionwise & Topicwise Solve...,"English, Paperback, Sijwalii B.S.",4.4,426,309,535,42
146,R S Aggarwal Verbal And Non Verbal Reasoning,"PAPARBACK, R S AGGRAWAL",4.5,215,649,850,23
147,KVPY 11 Years Solved Papers 2019-2009 Stream SB/SX,"English, Paperback, Mansi Garg, Sanubia Saleem, Lakshman Prasad, Deepak paliwal, Neha Minglani",4.6,136,199,295,32
148,Vastunisth Samanya Vigyan - (Objective General Science)...,"Hindi, Paperback, Gupta R.",4.0,47,179,190,5
149,An Introduction To Indian Art Part 1 : Textbook In Fine...,"Paperback, NCERT",4.3,81,160,229,30
150,Purvavlokan Indian History Part-2 2020 (20116-C),"Paperback, SSGCP GROUP",4.8,33,331,390,15
151,Ethics (Hindi) - Nitishastra with 1 Disc,"Hindi, Paperback, Sunil Agrahari",4.4,150,449,560,19
152,Important Judgements That Transformed India,"English, Paperback, unknown",4.5,2508,229,270,15
153,Breaking The Code of SSB Psychological Tests,"English, Paperback, SSBCrack",4.4,1619,350,390,10
154,Geography A Comprehensive Study By Mahesh Kumar Barnwal...,"Paperback, Hindi, MAHESH KUMAR BARNWAL",4.4,666,241,425,43
155,Rukmini Railway Reasoning Previous Year Solved (Vol-1),"Paperback, Hindi, Rukmini Prakashan",4.2,430,140,156,10
156,Objective Physics Vol.-1 & Vol. 2 For NEET,"Paperback, DC PANDEY",4.5,241,1080,1398,22
157,A Naturalist's Guide To The Reptiles Of India,"English, Paperback, Das Indraneil",4.3,30,317,499,36
158,Objective Physics Vol.-1 & Vol. 2 For NEET,"Paperback, DC PANDEY",4.5,241,1189,1400,15
159,Indian Economic Development Textbook For Class Xi,"Paperback, NCERT",4.3,1168,120,125,4
160,Saraswati Health And Physical Education Class - 12,"Paperback, V. K. Sharma",4.4,783,265,280,5
161,Bharat Ka Prachin Itihas,"Fine Paperback, Hindi, Ram Sharan Sharma",4.1,99,234,299,21
162,CBSE All In One Social Science Class 10 for 2021 Exam,"English, Undefined, Pattrea Madhumita",4.5,1203,335,445,24
163,Banking Awareness for SBI & IBPS Bank Clerk/ PO/ RRB/ R...,"English, Paperback, Disha Experts",4.4,263,187,260,28
164,Ancient India Old NCERT History Textbook By RS Sharma,"Paperback, RS Sharma",4.2,2728,159,250,36
165,Mathematical Physics,"English, Paperback, Dass H.K.",4.4,252,750,875,14
166,The Tempest (Text With Paraphrase) - Xavier Pinto,"Paperback, XAVIER PINTO",4.5,468,185,220,15
167,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...","Paperback, Hindi, Bipin Chandra and M laxmikanth",4.3,607,638,979,34
168,Cbse All in One Hindi 'A' Class 10 for 2021 Exam,"Hindi, Paperback, Tiwari Manju",4.4,329,237,330,28
169,RRB General Awareness 3000+ Previous Years Questions fo...,"English, Paperback, Disha Experts",4.1,772,93,125,25
170,Skills In Mathematics - TRIGONOMETRY for JEE Main and A...,"English, Paperback, Arihant Experts",4.5,1369,182,260,30
171,Set Of 3( Three )Classic Books,"Paperback, sapiens and stephens hawking",3.9,452,380,1228,69
172,Mechanical Engineering ( Conventional And Objective Typ...,"Paperback, RS KHURMI AND JK GUPTA",4.1,177,460,699,34
173,Panakkara Thanthai Yezhai Thanthai,"Tamil, Paperback, Kiyoski Robert T.",4.4,1485,238,299,20
174,Computer Science With Python Textbook For Class-11 By S...,"Paperback, Sumita Arora",4.4,99,551,575,4
175,Oxford Student Atlas for Competitive Exams,"English, Paperback, unknown",4.5,1277,259,359,27
176,Essential Sociology - For Civil Services Main Examinati...,"English, Paperback, Nitin Sangwan, Seema",4.5,2598,385,774,50
177,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,"Paperback, RAMESH SINGH, MAJID HUSSAIN",4.2,441,508,1250,59
178,Mathematics for Cds Entrance Examination,"English, Paperback, Aggarwal R.S.",4.5,506,341,495,31
179,Let Us C#,"English, Paperback, Kanetkar Yashavant P.",4.5,4163,292,297,1
180,25 Varsh UPSC IAS/ IPS Prarambhik Topic-wise Solved Pap...,"Hindi, Paperback, unknown",4.4,4385,341,525,35
181,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...","English, Paperback, Sachdeva Pardeep",4.2,60,317,499,36
182,SSB Interview - The Complete Guide,"English, Paperback, Dr. Natarajan N.K.",4.4,7389,185,235,21
183,Giant Book Series Transport Colouring Book,"English, Paperback, unknown",4.6,702,58,199,70
184,"OUAT Entrance Guide For B.tech(Agril.Engg),Bachelor In ...","Paperback, Kitab Mahal",4.3,19,469,485,3
185,Indian Air Force X & Y Group Technical & Non-Technical ...,"English, Paperback, unknown",4.2,1941,230,310,25
186,Rapidex English Speaking Course For Early Learning,"Paperback, Hindi, NO",4.3,431,244,260,6
187,Electric Motor & Fan Rewinding,"Paperback, Hindi, SALIM AKHTAR SIDDIQI, PAWAN GUPTA",3.9,571,270,300,10
188,Lucent Vastunishth Samanya Gyan,"Paperback, Hindi, Neeraj Chandra Chaudhary &Sanjiv Kumar",4.4,653,339,390,13
189,Ethics (Hindi) - Nitishastra with 1 Disc,"Hindi, Paperback, Sunil Agrahari",4.4,150,449,560,19
190,A Guide For Interview,"Paperback, Hindi, Praveen Kumar",4.3,28,70,125,44
191,"Business School (only Book, Without Audio Cd)","Hindi, Paperback, Robert T. Kiyosaki",4.4,2387,144,225,36
192,Upsc New Syllabus & Tips to Crack IAS Preliminary and M...,"English, Electronic book text, Experts Disha",4.3,5760,108,150,28
193,Pathfinder Academy CSIR-JRF-NET Life Sciences Book Comb...,"English, Paperback, Pranav Kumar",4.4,530,1755,2500,29
194,The Power of Your Subconscious Mind,"English, Paperback, Napoleon H.",4.5,22311,159,199,20
195,A Naturalist's Guide To The Reptiles Of India,"English, Paperback, Das Indraneil",4.3,30,317,499,36
196,All in One English Core Cbse Class 12 2019-20,"English, Paperback, unknown",4.5,4414,347,415,16
197,MHT CET 20 Question Paper Set Book | PCMB MCQs For 2020...,"Paperback, Content Team at Target Publications",4.3,108,418,500,16
198,All In One Chemistry CBSE Class 12 2020-21,"English, Undefined, Gupta Indu",4.4,393,395,550,28
199,Bharat Ka Prachin Itihas,"Fine Paperback, Hindi, Ram Sharan Sharma",4.1,99,234,299,21
200,Electrician Trade All India Exam Solved Papers,"Paperback, Er. Mahendra Pindel",4.3,822,313,375,16
201,Adhunik Bharat Ka Itihas,"Hindi, Paperback, Ahir Rajiv",4.3,5580,279,400,30
202,Indian Army General Duty G.D. Recruitment Exam (Hindi),"Paperback, Hindi, Ram Singh Yadav",4.2,138,133,135,1
203,IIT JAM Chemistry Solved Papers and Practice Sets 2021,"English, Paperback, Raj Kumar Soni",4.4,56,228,270,15
204,How To Win Friends And Influence People,"Paperback, DALE CARNEGIE",4.5,234,130,150,13
205,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...","Paperback, Hindi, Bipin Chandra and M laxmikanth",4.3,607,638,979,34
206,Object-Oriented Programming with C++,"English, Paperback, Balagurusamy",4.5,1571,426,525,18
207,"Srimad Bhagavad Gita As It Is : Marathi
(New Edition)","Hardcover, Marathi, His Divine Grace A. C. Bhaktivedanta Swami Prabhupada",4.6,1352,244,463,47
208,Set Of 3( Three )Classic Books,"Paperback, sapiens and stephens hawking",3.9,452,380,1228,69
209,Autobiography of a Yogi,"English, Paperback, Paramahamsa Yogananda",4.6,3794,118,125,5
210,Latest Probable Essays,"English, Paperback, Rajinder S. Dhillon",4.5,34,410,425,3
211,How to Prepare for Quantitative Aptitude for the CAT,"English, Paperback, Sharma Arun",4.5,10967,665,895,25
212,Purvavlokan Bharatiya itihas 2020,"Paperback, SSGCP GROUP",4.5,261,336,390,13
213,How to Crack Test of Reasoning - In All Competitive Exa...,"English, Paperback, Jaikishan, Premkishan",4.4,6786,210,235,10
214,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,"Paperback, RAMESH SINGH, MAJID HUSSAIN",4.2,441,508,1250,59
215,Chanakya Neeti,"English, Paperback, Pillai Radhakrishnan",4.6,1082,223,299,25
216,MCQS Life Sciences Biotechnology,"English, Paperback, Kumar Pranav",4.4,1210,365,405,9
217,Afcat (Flying Technical & Ground Duty Branch),"English, Paperback, unknown",4.4,2557,315,375,16
218,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...","English, Paperback, Sachdeva Pardeep",4.2,60,317,499,36
219,How To Prepare For Verbal Ability And Reading Ability,"English, Undefined, Sharma Arun",4.6,456,643,895,28
220,Class Notes Of Maths (English) By Rakesh Yadav Sir,"Paperback, Rakesh Yadav",4.3,3722,235,330,28
221,The Murder of Roger Ackroyd,"English, Hardcover, Christie Agatha",4.7,2433,491,699,29
222,Educart CBSE Class 10 Maths And Science Question Bank C...,"Paperback, Educart",4.5,20,715,998,28
223,HOW TO TALK TO ANYONE,"English, Paperback, Leil Lowndes",4.4,3610,184,299,38
224,The Diary of a Young Girl,"English, Paperback, Anne Frank",4.5,4431,144,180,20
225,CDS Maths : Fastrack With Shortcut Tricks,"English, Paperback, DDE",4.5,82,341,552,38
226,Mathematics For NDA And NA (R.S. Aggarwal),"Paperback, DR. R.S AGRWAL",4.4,397,400,650,38
227,Naveen Ankganit (Scc And Railway Board),"Paperback, Hindi, Dr. R S Aggarwal",4.3,723,419,600,30
228,One Liner General Knowledge,"English, Paperback, unknown",4.3,369,220,225,2
229,Concepts Of Physics Hc Verma Combo Set Fo Two Books 201...,"Paperback, HC VERMA",4.3,1873,625,870,28
230,101 Panchatantra Stories,"English, Paperback, unknown",4.4,850,123,170,27
231,Set Of 3( Three )Classic Books,"Paperback, sapiens and stephens hawking",3.9,452,380,1228,69
232,Science Class 6,"Paperback, Experts' Panel",4.2,409,60,80,25
233,Cbse All in One Chemistry Class 11 for 2021 Exam,"English, Paperback, Gupta Preeti",4.5,357,383,510,24
234,Dgp Probable Latest Essays,"English, Paperback, Prof. Dhillon Rajinder S.",4.4,58,415,425,2
235,History Of Modern India By Bipan Chandra ( New Edition ...,"Paperback, Bipan Chandra",4.5,6,297,425,30
236,Descriptive English,"English, Paperback, Bakshi S. P.",4.3,5356,210,285,26
237,Rajan D.el.ed Series 2020 Question Bank All Subject 8 P...,"Paperback, Hindi, RAJAN",4.4,12,150,220,31
238,THE SECRET,"English, Hardcover, Rhonda Byrne",4.2,2228,183,505,63
239,IIT JAM Physics Solved Papers and Practice sets 2021,"English, Paperback, Atique Hasan",4.5,40,228,270,15
240,"Srimad Bhagavad Gita As It Is : Kannada 
(New Edition)","Hardcover, Kannada, His Divine Grace A. C. Bhaktivedanta Swami Prabhupada",4.6,2082,291,450,35
241,The Blue Umbrella,"English, Paperback, Bond Ruskin",4.5,9400,85,95,10
242,Secrets of the Millionare Mind,"Hindi, Paperback, Eker T. Harv",4.5,3906,143,225,36
243,Mastering Modern World History,"English, Paperback, Lowe Norman",4.4,2767,346,999,65
244,A Guide to Mental Health and Psychiatric Nursing,"English, Paperback, Sreevani R.",4.5,529,559,850,34
245,Railway G.S 2020 (2011-A),"Hindi, Paperback, SSGCP GROUP",4.4,55,357,425,16
246,Concepts of Phyics: v. 1,"English, Paperback, Verma H.C.",4.5,16216,370,430,13
247,The Indian Penal Code (45 Of 1860) As Amended By The Ja...,"Paperback, Universal",4.6,187,170,210,19
248,Marketing Management 15e (with free INDIAN CASES book),"English, Paperback, Kotler Philip",4.6,1360,961,1049,8
249,Comprehensive Ophthalmology - comprehensive ophthalmolo...,"English, Paperback, unknown",4.6,632,997,1150,13
